分数,位次区间,同分人数,建议位次
685-750,1--14,14,14
684,14-14,1,14
683,15-21,7,21
682,22-23,2,23
681,24-28,5,28
680,29-29,1,29
679,30-34,5,34
678,35-39,5,39
677,40-41,2,41
676,42-45,4,45
675,46-54,9,54
674,55-60,6,60
673,61-66,6,66
672,67-71,5,71
671,72-74,3,74
670,75-85,11,85
669,86-92,7,92
668,93-98,6,98
667,99-110,12,110
666,111-123,13,123
665,124-131,8,131
664,132-141,10,141
663,142-152,11,152
662,153-156,4,156
661,157-163,7,163
660,164-172,9,172
659,173-186,14,186
658,187-196,10,196
657,197-208,12,208
656,209-222,14,222
655,223-232,10,232
654,233-245,13,245
653,246-254,9,254
652,255-277,23,277
651,278-289,12,289
650,290-301,12,301
649,302-322,21,322
648,323-340,18,340
647,341-360,20,360
646,361-382,22,382
645,383-411,29,411
644,412-425,14,425
643,426-436,11,436
642,437-463,27,463
641,464-487,24,487
640,488-520,33,520
639,521-541,21,541
638,542-567,26,567
637,568-593,26,593
636,594-615,22,615
635,616-642,27,642
634,643-661,19,661
633,662-689,28,689
632,690-713,24,713
631,714-741,28,741
630,742-774,33,774
629,775-805,31,805
628,806-841,36,841
627,842-868,27,868
626,869-904,36,904
625,905-944,40,944
624,945-985,41,985
623,986-1020,35,1020
622,1021-1056,36,1056
621,1057-1097,41,1097
620,1098-1141,44,1141
619,1142-1172,31,1172
618,1173-1213,41,1213
617,1214-1250,37,1250
616,1251-1291,41,1291
615,1292-1348,57,1348
614,1349-1395,47,1395
613,1396-1449,54,1449
612,1450-1500,51,1500
611,1501-1560,60,1560
610,1561-1616,56,1616
609,1617-1671,55,1671
608,1672-1730,59,1730
607,1731-1774,44,1774
606,1775-1830,56,1830
605,1831-1879,49,1879
604,1880-1936,57,1936
603,1937-1984,48,1984
602,1985-2045,61,2045
601,2046-2104,59,2104
600,2105-2183,79,2183
599,2184-2258,75,2258
598,2259-2325,67,2325
597,2326-2372,47,2372
596,2373-2435,63,2435
595,2436-2516,81,2516
594,2517-2598,82,2598
593,2599-2682,84,2682
592,2683-2753,71,2753
591,2754-2827,74,2827
590,2828-2899,72,2899
589,2900-2983,84,2983
588,2984-3064,81,3064
587,3065-3158,94,3158
586,3159-3249,91,3249
585,3250-3340,91,3340
584,3341-3421,81,3421
583,3422-3503,82,3503
582,3504-3607,104,3607
