分数,位次区间,同分人数,建议位次
581,3608-3693,86,3693
580,3694-3804,111,3804
579,3805-3900,96,3900
578,3901-3982,82,3982
577,3983-4083,101,4083
576,4084-4182,99,4182
575,4183-4279,97,4279
574,4280-4386,107,4386
573,4387-4507,121,4507
572,4508-4628,121,4628
571,4629-4742,114,4742
570,4743-4877,135,4877
569,4878-4980,103,4980
568,4981-5098,118,5098
567,5099-5230,132,5230
566,5231-5328,98,5328
565,5329-5443,115,5443
564,5444-5570,127,5570
563,5571-5723,153,5723
562,5724-5854,131,5854
561,5855-5974,120,5974
560,5975-6081,107,6081
559,6082-6222,141,6222
558,6223-6342,120,6342
557,6343-6480,138,6480
556,6481-6624,144,6624
555,6625-6774,150,6774
554,6775-6911,137,6911
553,6912-7040,129,7040
552,7041-7181,141,7181
551,7182-7326,145,7326
550,7327-7473,147,7473
549,7474-7620,147,7620
548,7621-7785,165,7785
547,7786-7957,172,7957
546,7958-8146,189,8146
545,8147-8332,186,8332
544,8333-8511,179,8511
543,8512-8683,172,8683
542,8684-8840,157,8840
541,8841-9033,193,9033
540,9034-9196,163,9196
539,9197-9381,185,9381
538,9382-9566,185,9566
537,9567-9765,199,9765
536,9766-9967,202,9967
535,9968-10158,191,10158
534,10159-10352,194,10352
533,10353-10538,186,10538
532,10539-10737,199,10737
531,10738-10945,208,10945
530,10946-11140,195,11140
529,11141-11351,211,11351
528,11352-11568,217,11568
527,11569-11785,217,11785
526,11786-12027,242,12027
525,12028-12244,217,12244
524,12245-12447,203,12447
523,12448-12665,218,12665
522,12666-12888,223,12888
521,12889-13122,234,13122
520,13123-13367,245,13367
519,13368-13596,229,13596
518,13597-13860,264,13860
517,13861-14110,250,14110
516,14111-14350,240,14350
515,14351-14604,254,14604
514,14605-14850,246,14850
513,14851-15111,261,15111
512,15112-15406,295,15406
511,15407-15690,284,15690
510,15691-15966,276,15966
509,15967-16231,265,16231
508,16232-16533,302,16533
507,16534-16815,282,16815
506,16816-17110,295,17110
505,17111-17406,296,17406
504,17407-17706,300,17706
503,17707-18013,307,18013
502,18014-18309,296,18309
501,18310-18635,326,18635
500,18636-18944,309,18944
499,18945-19257,313,19257
498,19258-19557,300,19557
497,19558-19871,314,19871
496,19872-20191,320,20191
495,20192-20531,340,20531
494,20532-20878,347,20878
493,20879-21237,359,21237
492,21238-21586,349,21586
491,21587-21970,384,21970
490,21971-22357,387,22357
489,22358-22690,333,22690
488,22691-23066,376,23066
487,23067-23424,358,23424
486,23425-23804,380,23804
485,23805-24196,392,24196
484,24197-24593,397,24593
483,24594-24996,403,24996
482,24997-25362,366,25362
481,25363-25748,386,25748
480,25749-26167,419,26167
479,26168-26552,385,26552
478,26553-26940,388,26940
477,26941-27331,391,27331
476,27332-27735,404,27735
475,27736-28159,424,28159
474,28160-28608,449,28608
473,28609-28980,372,28980
472,28981-29413,433,29413
471,29414-29850,437,29850
470,29851-30280,430,30280
469,30281-30734,454,30734
468,30735-31190,456,31190
467,31191-31657,467,31657
466,31658-32096,439,32096
465,32097-32546,450,32546
464,32547-33006,460,33006
463,33007-33491,485,33491
462,33492-33963,472,33963
461,33964-34448,485,34448
460,34449-34909,461,34909
459,34910-35390,481,35390
458,35391-35874,484,35874
457,35875-36364,490,36364
456,36365-36872,508,36872
455,36873-37383,511,37383
454,37384-37838,455,37838
453,37839-38327,489,38327
452,38328-38823,496,38823
451,38824-39347,524,39347
450,39348-39831,484,39831
449,39832-40395,564,40395
448,40396-40958,563,40958
447,40959-41483,525,41483
446,41484-42020,537,42020
445,42021-42566,546,42566
444,42567-43066,500,43066
443,43067-43614,548,43614
442,43615-44137,523,44137
441,44138-44634,497,44634
440,44635-45172,538,45172
439,45173-45721,549,45721
438,45722-46326,605,46326
437,46327-46887,561,46887
436,46888-47417,530,47417
435,47418-47977,560,47977
434,47978-48556,579,48556
433,48557-49177,621,49177
432,49178-49762,585,49762
431,49763-50353,591,50353
430,50354-50924,571,50924
429,50925-51486,562,51486
428,51487-52029,543,52029
427,52030-52618,589,52618
426,52619-53186,568,53186
425,53187-53765,579,53765
424,53766-54330,565,54330
423,54331-54897,567,54897
422,54898-55483,586,55483
421,55484-56078,595,56078
420,56079-56656,578,56656
419,56657-57231,575,57231
418,57232-57836,605,57836
417,57837-58427,591,58427
416,58428-59018,591,59018
415,59019-59603,585,59603
414,59604-60177,574,60177
413,60178-60736,559,60736
412,60737-61256,520,61256
411,61257-61854,598,61854
410,61855-62438,584,62438
409,62439-63062,624,63062
408,63063-63632,570,63632
407,63633-64189,557,64189
406,64190-64764,575,64764
405,64765-65338,574,65338
404,65339-65910,572,65910
403,65911-66505,595,66505
402,66506-67091,586,67091
401,67092-67675,584,67675
400,67676-68259,584,68259
399,68260-68823,564,68823
398,68824-69392,569,69392
397,69393-69944,552,69944
396,69945-70511,567,70511
395,70512-71058,547,71058
394,71059-71652,594,71652
393,71653-72231,579,72231
392,72232-72783,552,72783
391,72784-73347,564,73347
390,73348-73855,508,73855
389,73856-74401,546,74401
388,74402-74965,564,74965
387,74966-75514,549,75514
386,75515-76067,553,76067
385,76068-76589,522,76589
384,76590-77135,546,77135
383,77136-77662,527,77662
382,77663-78176,514,78176
381,78177-78683,507,78683
380,78684-79220,537,79220
379,79221-79756,536,79756
378,79757-80297,541,80297
377,80298-80833,536,80833
376,80834-81371,538,81371
375,81372-81856,485,81856
374,81857-82384,528,82384
373,82385-82883,499,82883
372,82884-83413,530,83413
371,83414-83949,536,83949
370,83950-84433,484,84433
369,84434-84876,443,84876
368,84877-85344,468,85344
367,85345-85836,492,85836
366,85837-86355,519,86355
365,86356-86867,512,86867
364,86868-87344,477,87344
363,87345-87839,495,87839
362,87840-88293,454,88293
361,88294-88778,485,88778
360,88779-89244,466,89244
359,89245-89699,455,89699
358,89700-90143,444,90143
357,90144-90596,453,90596
356,90597-91068,472,91068
355,91069-91511,443,91511
354,91512-91968,457,91968
353,91969-92428,460,92428
352,92429-92864,436,92864
351,92865-93293,429,93293
350,93294-93720,427,93720
349,93721-94180,460,94180
348,94181-94559,379,94559
347,94560-94970,411,94970
346,94971-95393,423,95393
345,95394-95795,402,95795
344,95796-96209,414,96209
343,96210-96625,416,96625
342,96626-97018,393,97018
341,97019-97428,410,97428
340,97429-97819,391,97819
339,97820-98231,412,98231
338,98232-98619,388,98619
337,98620-98999,380,98999
336,99000-99403,404,99403
335,99404-99816,413,99816
334,99817-100199,383,100199
333,100200-100604,405,100604
332,100605-100931,327,100931
331,100932-101274,343,101274
330,101275-101641,367,101641
329,101642-101990,349,101990
328,101991-102370,380,102370
327,102371-102711,341,102711
326,102712-103076,365,103076
325,103077-103429,353,103429
324,103430-103759,330,103759
323,103760-104063,304,104063
322,104064-104405,342,104405
321,104406-104752,347,104752
320,104753-105085,333,105085
319,105086-105399,314,105399
318,105400-105708,309,105708
317,105709-106012,304,106012
316,106013-106292,280,106292
315,106293-106566,274,106566
314,106567-106874,308,106874
313,106875-107193,319,107193
312,107194-107479,286,107479
311,107480-107782,303,107782
310,107783-108077,295,108077
309,108078-108346,269,108346
308,108347-108638,292,108638
307,108639-108916,278,108916
306,108917-109184,268,109184
305,109185-109450,266,109450
304,109451-109692,242,109692
303,109693-109970,278,109970
302,109971-110198,228,110198
301,110199-110456,258,110456
300,110457-110722,266,110722
299,110723-110941,219,110941
298,110942-111189,248,111189
297,111190-111431,242,111431
296,111432-111687,256,111687
295,111688-111935,248,111935
294,111936-112179,244,112179
293,112180-112402,223,112402
292,112403-112603,201,112603
291,112604-112814,211,112814
290,112815-112999,185,112999
289,113000-113217,218,113217
288,113218-113416,199,113416
287,113417-113640,224,113640
286,113641-113834,194,113834
285,113835-114039,205,114039
284,114040-114219,180,114219
283,114220-114426,207,114426
282,114427-114611,185,114611
281,114612-114796,185,114796
280,114797-114972,176,114972
279,114973-115147,175,115147
278,115148-115340,193,115340
277,115341-115506,166,115506
276,115507-115692,186,115692
275,115693-115870,178,115870
274,115871-116035,165,116035
273,116036-116207,172,116207
272,116208-116353,146,116353
271,116354-116515,162,116515
270,116516-116676,161,116676
269,116677-116827,151,116827
268,116828-116981,154,116981
267,116982-117142,161,117142
266,117143-117287,145,117287
265,117288-117441,154,117441
264,117442-117590,149,117590
263,117591-117731,141,117731
262,117732-117855,124,117855
261,117856-117991,136,117991
260,117992-118131,140,118131
259,118132-118256,125,118256
258,118257-118387,131,118387
257,118388-118500,113,118500
256,118501-118620,120,118620
255,118621-118730,110,118730
254,118731-118871,141,118871
253,118872-118978,107,118978
252,118979-119097,119,119097
251,119098-119203,106,119203
250,119204-119331,128,119331
249,119332-119442,111,119442
248,119443-119556,114,119556
247,119557-119646,90,119646
246,119647-119754,108,119754
245,119755-119841,87,119841
244,119842-119932,91,119932
243,119933-120025,93,120025
242,120026-120131,106,120131
241,120132-120228,97,120228
240,120229-120319,91,120319
239,120320-120394,75,120394
238,120395-120484,90,120484
237,120485-120585,101,120585
236,120586-120658,73,120658
235,120659-120736,78,120736
234,120737-120814,78,120814
233,120815-120898,84,120898
232,120899-120984,86,120984
231,120985-121052,68,121052
230,121053-121125,73,121125
229,121126-121195,70,121195
228,121196-121275,80,121275
227,121276-121356,81,121356
226,121357-121427,71,121427
225,121428-121480,53,121480
224,121481-121552,72,121552
223,121553-121610,58,121610
222,121611-121665,55,121665
221,121666-121729,64,121729
220,121730-121804,75,121804
219,121805-121864,60,121864
218,121865-121915,51,121915
217,121916-121977,62,121977
216,121978-122041,64,122041
215,122042-122096,55,122096
214,122097-122139,43,122139
213,122140-122195,56,122195
212,122196-122249,54,122249
211,122250-122300,51,122300
210,122301-122357,57,122357
209,122358-122411,54,122411
208,122412-122449,38,122449
207,122450-122486,37,122486
206,122487-122525,39,122525
205,122526-122572,47,122572
204,122573-122598,26,122598
203,122599-122631,33,122631
202,122632-122665,34,122665
201,122666-122705,40,122705
200,122706-122747,42,122747
199,122748-122788,41,122788
198,122789-122823,35,122823
197,122824-122853,30,122853
196,122854-122888,35,122888
195,122889-122918,30,122918
194,122919-122944,26,122944
193,122945-122965,21,122965
192,122966-122992,27,122992
191,122993-123015,23,123015
190,123016-123035,20,123035
189,123036-123059,24,123059
188,123060-123086,27,123086
187,123087-123109,23,123109
186,123110-123132,23,123132
185,123133-123142,10,123142
184,123143-123164,22,123164
183,123165-123188,24,123188
182,123189-123218,30,123218
181,123219-123239,21,123239
180,123240-123258,19,123258
179,123259-123270,12,123270
178,123271-123284,14,123284
177,123285-123301,17,123301
176,123302-123318,17,123318
175,123319-123329,11,123329
174,123330-123349,20,123349
173,123350-123364,15,123364
172,123365-123371,7,123371
171,123372-123386,15,123386
170,123387-123402,16,123402
169,123403-123412,10,123412
168,123413-123427,15,123427
167,123428-123443,16,123443
166,123444-123453,10,123453
165,123454-123461,8,123461
164,123462-123473,12,123473
163,123474-123480,7,123480
162,123481-123489,9,123489
161,123490-123500,11,123500
160,123501-123507,7,123507
159,123508-123515,8,123515
158,123516-123522,7,123522
157,123523-123529,7,123529
156,123530-123539,10,123539
155,123540-123544,5,123544
154,123545-123552,8,123552
153,123553-123558,6,123558
152,123559-123564,6,123564
151,123565-123575,11,123575
150,123576-123583,8,123583
149,123584-123588,5,123588
148,123589-123593,5,123593
147,123594-123598,5,123598
146,123599-123602,4,123602
145,123603-123605,3,123605
144,123606-123610,5,123610
143,123611-123617,7,123617
142,123618-123618,1,123618
141,123619-123629,11,123629
140,123630-123633,4,123633
139,123634-123636,3,123636
138,123637-123639,3,123639
137,123640-123645,6,123645
136,123646-123646,1,123646
135,123647-123649,3,123649
134,123650-123651,2,123651
133,123652-123656,5,123656
132,123657-123659,3,123659
131,123660-123661,2,123661
130,123662-123662,1,123662
129,123663-123663,1,123663
128,123664-123664,1,123664
127,123665-123665,1,123665
126,123666-123666,1,123666
125,123667-123669,3,123669
124,123670-123670,1,123670
123,123671-123671,1,123671
122,123672-123672,1,123672
121,123672-123672,1,123672
120,123672-123672,1,123672
119,123673-123673,1,123673
118,123674-123675,2,123675
117,123676-123677,2,123677
116,123678-123680,3,123680
115,123680-123680,1,123680
114,123680-123680,1,123680
113,123681-123681,1,123681
112,123681-123681,1,123681
111,123682-123682,1,123682
110,123682-123682,1,123682
109,123682-123682,1,123682
108,123682-123682,1,123682
107,123683-123683,1,123683
106,123683-123683,1,123683
105,123683-123683,1,123683
104,123684-123684,1,123684
103,123685-123685,1,123685
102,123686-123686,1,123686
101,123686-123686,1,123686
100,123687-123687,1,123687
99,123687-123687,1,123687
98,123687-123687,1,123687
97,123687-123687,1,123687
96,123687-123687,1,123687
95,123687-123687,1,123687
94,123688-123688,1,123688
93,123689-123689,1,123689
92,123690-123691,2,123691
91,123691-123691,1,123691
90,123692-123692,1,123692
89,123692-123692,1,123692
88,123692-123692,1,123692
87,123693-123694,2,123694
86,123694-123694,1,123694
85,123695-123695,1,123695
84,123695-123695,1,123695
83,123695-123695,1,123695
82,123695-123695,1,123695
81,123695-123695,1,123695
80,123696-123696,1,123696
79,123696-123696,1,123696
78,123697-123698,2,123698
77,123699-123699,1,123699
76,123699-123699,1,123699
75,123700-123700,1,123700
74,123701-123701,1,123701
73,123701-123701,1,123701
72,123701-123701,1,123701
71,123701-123701,1,123701
70,123702-123703,2,123703
69,123703-123703,1,123703
68,123703-123703,1,123703
67,123704-123704,1,123704
66,123704-123704,1,123704
65,123704-123704,1,123704
64,123704-123704,1,123704
63,123704-123704,1,123704
62,123704-123704,1,123704
61,123705-123705,1,123705
60,123705-123705,1,123705
59,123705-123705,1,123705
58,123705-123705,1,123705
57,123705-123705,1,123705
56,123705-123705,1,123705
55,123706-123706,1,123706
54,123706-123706,1,123706
53,123707-123707,1,123707
52,123707-123707,1,123707
51,123707-123707,1,123707
50,123707-123707,1,123707
49,123707-123707,1,123707
48,123707-123707,1,123707
47,123707-123707,1,123707
46,123708-123708,1,123708
45,123708-123708,1,123708
44,123708-123708,1,123708
43,123708-123708,1,123708
42,123708-123708,1,123708
41,123708-123708,1,123708
40,123708-123708,1,123708
39,123708-123708,1,123708
38,123708-123708,1,123708
37,123708-123708,1,123708
36,123708-123708,1,123708
35,123708-123708,1,123708
34,123708-123708,1,123708
33,123708-123708,1,123708
32,123708-123708,1,123708
31,123708-123708,1,123708
30,123708-123708,1,123708
29,123708-123708,1,123708
28,123708-123708,1,123708
27,123708-123708,1,123708
26,123708-123708,1,123708
25,123708-123708,1,123708
24,123708-123708,1,123708
23,123708-123708,1,123708
22,123708-123708,1,123708
21,123708-123708,1,123708
20,123709-123709,1,123709
19,123709-123709,1,123709
18,123710-123710,1,123710
17,123711-123711,1,123711
16,123711-123711,1,123711
15,123711-123711,1,123711
14,123711-123711,1,123711
13,123711-123711,1,123711
12,123711-123711,1,123711
11,123711-123711,1,123711
10,123711-123711,1,123711
9,123711-123711,1,123711
8,123711-123711,1,123711
7,123711-123711,1,123711
6,123711-123711,1,123711
5,123711-123711,1,123711
4,123711-123711,1,123711
3,123711-123711,1,123711
2,123711-123711,1,123711
1,123711-123711,1,123711
-,123712-124220,509,124220
