分数,位次区间,同分人数,建议位次
411,48569-49050,482,49050
410,49051-49597,547,49597
409,49598-50118,521,50118
408,50119-50609,491,50609
407,50610-51099,490,51099
406,51100-51578,479,51578
405,51579-52094,516,52094
404,52095-52561,467,52561
403,52562-53097,536,53097
402,53098-53603,506,53603
401,53604-54136,533,54136
400,54137-54648,512,54648
399,54649-55162,514,55162
398,55163-55705,543,55705
397,55706-56200,495,56200
396,56201-56759,559,56759
395,56760-57266,507,57266
394,57267-57783,517,57783
393,57784-58319,536,58319
392,58320-58842,523,58842
391,58843-59417,575,59417
390,59418-59940,523,59940
389,59941-60415,475,60415
388,60416-60908,493,60908
387,60909-61425,517,61425
386,61426-61976,551,61976
385,61977-62526,550,62526
384,62527-63018,492,63018
383,63019-63531,513,63531
382,63532-64051,520,64051
381,64052-64566,515,64566
380,64567-65086,520,65086
379,65087-65552,466,65552
378,65553-66034,482,66034
377,66035-66516,482,66516
376,66517-67042,526,67042
375,67043-67497,455,67497
374,67498-67981,484,67981
373,67982-68474,493,68474
372,68475-68968,494,68968
371,68969-69457,489,69457
370,69458-69956,499,69956
369,69957-70455,499,70455
368,70456-71009,554,71009
367,71010-71495,486,71495
366,71496-71972,477,71972
365,71973-72428,456,72428
364,72429-72891,463,72891
363,72892-73384,493,73384
362,73385-73836,452,73836
361,73837-74327,491,74327
360,74328-74789,462,74789
359,74790-75256,467,75256
358,75257-75725,469,75725
357,75726-76218,493,76218
356,76219-76654,436,76654
355,76655-77113,459,77113
354,77114-77606,493,77606
353,77607-78024,418,78024
352,78025-78486,462,78486
351,78487-78931,445,78931
350,78932-79365,434,79365
349,79366-79815,450,79815
348,79816-80256,441,80256
347,80257-80646,390,80646
346,80647-81063,417,81063
345,81064-81468,405,81468
344,81469-81874,406,81874
343,81875-82303,429,82303
342,82304-82726,423,82726
341,82727-83111,385,83111
340,83112-83519,408,83519
339,83520-83933,414,83933
338,83934-84342,409,84342
337,84343-84730,388,84730
336,84731-85159,429,85159
335,85160-85575,416,85575
334,85576-85963,388,85963
333,85964-86368,405,86368
332,86369-86739,371,86739
331,86740-87103,364,87103
330,87104-87494,391,87494
329,87495-87877,383,87877
328,87878-88226,349,88226
327,88227-88607,381,88607
326,88608-88988,381,88988
325,88989-89334,346,89334
324,89335-89707,373,89707
323,89708-90067,360,90067
322,90068-90433,366,90433
321,90434-90801,368,90801
320,90802-91129,328,91129
319,91130-91473,344,91473
318,91474-91828,355,91828
317,91829-92154,326,92154
316,92155-92490,336,92490
315,92491-92805,315,92805
314,92806-93126,321,93126
313,93127-93428,302,93428
312,93429-93731,303,93731
311,93732-94042,311,94042
310,94043-94342,300,94342
309,94343-94638,296,94638
308,94639-94953,315,94953
307,94954-95242,289,95242
306,95243-95537,295,95537
305,95538-95826,289,95826
304,95827-96111,285,96111
303,96112-96420,309,96420
302,96421-96677,257,96677
301,96678-96964,287,96964
300,96965-97250,286,97250
299,97251-97541,291,97541
298,97542-97764,223,97764
297,97765-98017,253,98017
296,98018-98274,257,98274
295,98275-98524,250,98524
294,98525-98795,271,98795
293,98796-99046,251,99046
292,99047-99290,244,99290
291,99291-99552,262,99552
290,99553-99796,244,99796
289,99797-100053,257,100053
288,100054-100274,221,100274
287,100275-100474,200,100474
286,100475-100724,250,100724
285,100725-100949,225,100949
284,100950-101156,207,101156
283,101157-101380,224,101380
282,101381-101575,195,101575
281,101576-101807,232,101807
280,101808-102033,226,102033
279,102034-102239,206,102239
278,102240-102462,223,102462
277,102463-102651,189,102651
276,102652-102864,213,102864
275,102865-103065,201,103065
274,103066-103244,179,103244
273,103245-103417,173,103417
272,103418-103616,199,103616
271,103617-103830,214,103830
270,103831-104005,175,104005
269,104006-104185,180,104185
268,104186-104360,175,104360
267,104361-104559,199,104559
266,104560-104746,187,104746
265,104747-104926,180,104926
264,104927-105085,159,105085
263,105086-105256,171,105256
262,105257-105424,168,105424
261,105425-105604,180,105604
260,105605-105771,167,105771
259,105772-105910,139,105910
258,105911-106058,148,106058
257,106059-106192,134,106192
256,106193-106353,161,106353
255,106354-106510,157,106510
254,106511-106652,142,106652
253,106653-106804,152,106804
252,106805-106937,133,106937
251,106938-107055,118,107055
250,107056-107175,120,107175
249,107176-107315,140,107315
248,107316-107443,128,107443
247,107444-107575,132,107575
246,107576-107691,116,107691
245,107692-107808,117,107808
244,107809-107918,110,107918
243,107919-108055,137,108055
242,108056-108173,118,108173
241,108174-108290,117,108290
240,108291-108390,100,108390
239,108391-108513,123,108513
238,108514-108607,94,108607
237,108608-108711,104,108711
236,108712-108805,94,108805
235,108806-108917,112,108917
234,108918-109020,103,109020
233,109021-109115,95,109115
232,109116-109199,84,109199
231,109200-109294,95,109294
230,109295-109386,92,109386
229,109387-109496,110,109496
228,109497-109586,90,109586
227,109587-109669,83,109669
226,109670-109748,79,109748
225,109749-109825,77,109825
224,109826-109906,81,109906
223,109907-109995,89,109995
222,109996-110070,75,110070
221,110071-110135,65,110135
220,110136-110206,71,110206
219,110207-110268,62,110268
218,110269-110325,57,110325
217,110326-110383,58,110383
216,110384-110458,75,110458
215,110459-110512,54,110512
214,110513-110570,58,110570
213,110571-110637,67,110637
212,110638-110694,57,110694
211,110695-110756,62,110756
210,110757-110811,55,110811
209,110812-110869,58,110869
208,110870-110932,63,110932
207,110933-110984,52,110984
206,110985-111040,56,111040
205,111041-111101,61,111101
204,111102-111148,47,111148
