分数,位次区间,同分人数,建议位次
647-750,1--16,16,16
646,17-17,1,17
645,18-19,2,19
644,20-20,1,20
643,21-25,5,25
642,26-28,3,28
641,29-30,2,30
640,31-32,2,32
639,33-33,1,33
638,34-35,2,35
637,36-37,2,37
636,38-38,1,38
635,39-42,4,42
634,43-45,3,45
633,46-49,4,49
632,50-56,7,56
631,57-57,1,57
630,58-65,8,65
629,66-70,5,70
628,71-71,1,71
627,72-74,3,74
626,75-76,2,76
625,77-80,4,80
624,81-87,7,87
623,88-91,4,91
622,92-101,10,101
621,102-109,8,109
620,110-119,10,119
619,120-125,6,125
618,126-135,10,135
617,136-142,7,142
616,143-151,9,151
615,152-160,9,160
614,161-167,7,167
613,168-183,16,183
612,184-192,9,192
611,193-202,10,202
610,203-210,8,210
609,211-220,10,220
608,221-229,9,229
607,230-239,10,239
606,240-248,9,248
605,249-256,8,256
604,257-269,13,269
603,270-282,13,282
602,283-298,16,298
601,299-312,14,312
600,313-327,15,327
599,328-342,15,342
598,343-357,15,357
597,358-368,11,368
596,369-383,15,383
595,384-401,18,401
594,402-425,24,425
593,426-449,24,449
592,450-468,19,468
591,469-496,28,496
590,497-522,26,522
589,523-547,25,547
588,548-570,23,570
587,571-597,27,597
586,598-624,27,624
585,625-658,34,658
584,659-691,33,691
583,692-713,22,713
582,714-745,32,745
581,746-779,34,779
580,780-802,23,802
579,803-829,27,829
578,830-860,31,860
577,861-901,41,901
576,902-931,30,931
575,932-964,33,964
574,965-1003,39,1003
573,1004-1062,59,1062
572,1063-1094,32,1094
571,1095-1145,51,1145
570,1146-1201,56,1201
569,1202-1243,42,1243
568,1244-1285,42,1285
567,1286-1317,32,1317
566,1318-1356,39,1356
565,1357-1395,39,1395
564,1396-1443,48,1443
563,1444-1487,44,1487
562,1488-1534,47,1534
561,1535-1585,51,1585
560,1586-1638,53,1638
559,1639-1688,50,1688
558,1689-1728,40,1728
557,1729-1775,47,1775
556,1776-1818,43,1818
555,1819-1858,40,1858
554,1859-1913,55,1913
553,1914-1981,68,1981
552,1982-2045,64,2045
551,2046-2102,57,2102
550,2103-2162,60,2162
549,2163-2247,85,2247
548,2248-2309,62,2309
547,2310-2384,75,2384
546,2385-2453,69,2453
545,2454-2543,90,2543
544,2544-2616,73,2616
543,2617-2695,79,2695
542,2696-2785,90,2785
541,2786-2862,77,2862
540,2863-2947,85,2947
539,2948-3016,69,3016
538,3017-3087,71,3087
537,3088-3184,97,3184
536,3185-3278,94,3278
535,3279-3369,91,3369
534,3370-3458,89,3458
533,3459-3554,96,3554
532,3555-3639,85,3639
531,3640-3743,104,3743
530,3744-3860,117,3860
529,3861-3966,106,3966
528,3967-4087,121,4087
527,4088-4192,105,4192
526,4193-4315,123,4315
525,4316-4432,117,4432
524,4433-4545,113,4545
523,4546-4689,144,4689
522,4690-4820,131,4820
521,4821-4949,129,4949
520,4950-5092,143,5092
519,5093-5228,136,5228
518,5229-5370,142,5370
517,5371-5504,134,5504
516,5505-5634,130,5634
515,5635-5777,143,5777
514,5778-5908,131,5908
513,5909-6069,161,6069
512,6070-6243,174,6243
511,6244-6419,176,6419
510,6420-6584,165,6584
509,6585-6758,174,6758
508,6759-6930,172,6930
507,6931-7116,186,7116
506,7117-7293,177,7293
505,7294-7466,173,7466
504,7467-7675,209,7675
503,7676-7850,175,7850
502,7851-8026,176,8026
501,8027-8235,209,8235
500,8236-8428,193,8428
499,8429-8626,198,8626
498,8627-8811,185,8811
497,8812-9026,215,9026
496,9027-9254,228,9254
495,9255-9451,197,9451
494,9452-9645,194,9645
493,9646-9841,196,9841
492,9842-10064,223,10064
491,10065-10284,220,10284
490,10285-10507,223,10507
489,10508-10747,240,10747
488,10748-10974,227,10974
487,10975-11205,231,11205
486,11206-11471,266,11471
485,11472-11718,247,11718
484,11719-11937,219,11937
483,11938-12197,260,12197
482,12198-12461,264,12461
481,12462-12720,259,12720
480,12721-12978,258,12978
479,12979-13195,217,13195
478,13196-13450,255,13450
477,13451-13712,262,13712
476,13713-13971,259,13971
475,13972-14225,254,14225
474,14226-14499,274,14499
473,14500-14763,264,14763
472,14764-15014,251,15014
471,15015-15275,261,15275
470,15276-15547,272,15547
469,15548-15811,264,15811
468,15812-16065,254,16065
467,16066-16350,285,16350
466,16351-16622,272,16622
465,16623-16900,278,16900
464,16901-17212,312,17212
463,17213-17470,258,17470
462,17471-17760,290,17760
461,17761-18042,282,18042
460,18043-18351,309,18351
459,18352-18651,300,18651
458,18652-18931,280,18931
457,18932-19219,288,19219
456,19220-19489,270,19489
455,19490-19792,303,19792
454,19793-20102,310,20102
453,20103-20394,292,20394
452,20395-20714,320,20714
451,20715-21067,353,21067
450,21068-21361,294,21361
449,21362-21624,263,21624
448,21625-21931,307,21931
447,21932-22242,311,22242
446,22243-22548,306,22548
445,22549-22842,294,22842
444,22843-23166,324,23166
443,23167-23487,321,23487
442,23488-23792,305,23792
441,23793-24109,317,24109
440,24110-24413,304,24413
439,24414-24721,308,24721
438,24722-25048,327,25048
437,25049-25373,325,25373
436,25374-25657,284,25657
435,25658-25948,291,25948
434,25949-26245,297,26245
433,26246-26536,291,26536
432,26537-26821,285,26821
431,26822-27126,305,27126
430,27127-27438,312,27438
429,27439-27755,317,27755
428,27756-28065,310,28065
427,28066-28361,296,28361
426,28362-28639,278,28639
425,28640-28974,335,28974
424,28975-29278,304,29278
423,29279-29566,288,29566
422,29567-29877,311,29877
421,29878-30185,308,30185
420,30186-30472,287,30472
419,30473-30758,286,30758
418,30759-31066,308,31066
417,31067-31378,312,31378
416,31379-31697,319,31697
415,31698-32016,319,32016
414,32017-32298,282,32298
413,32299-32595,297,32595
412,32596-32911,316,32911
411,32912-33182,271,33182
410,33183-33491,309,33491
409,33492-33785,294,33785
408,33786-34068,283,34068
407,34069-34334,266,34334
406,34335-34620,286,34620
405,34621-34938,318,34938
404,34939-35266,328,35266
403,35267-35582,316,35582
402,35583-35875,293,35875
401,35876-36189,314,36189
400,36190-36475,286,36475
399,36476-36751,276,36751
398,36752-37077,326,37077
397,37078-37378,301,37378
396,37379-37672,294,37672
395,37673-37939,267,37939
394,37940-38219,280,38219
393,38220-38532,313,38532
392,38533-38831,299,38831
391,38832-39141,310,39141
390,39142-39436,295,39436
389,39437-39733,297,39733
388,39734-40013,280,40013
387,40014-40298,285,40298
386,40299-40584,286,40584
385,40585-40908,324,40908
384,40909-41194,286,41194
383,41195-41498,304,41498
382,41499-41814,316,41814
381,41815-42111,297,42111
380,42112-42398,287,42398
379,42399-42698,300,42698
378,42699-42991,293,42991
377,42992-43247,256,43247
376,43248-43545,298,43545
375,43546-43840,295,43840
374,43841-44119,279,44119
373,44120-44396,277,44396
372,44397-44679,283,44679
371,44680-44957,278,44957
370,44958-45242,285,45242
369,45243-45518,276,45518
368,45519-45789,271,45789
367,45790-46043,254,46043
366,46044-46342,299,46342
365,46343-46670,328,46670
364,46671-46976,306,46976
363,46977-47256,280,47256
362,47257-47563,307,47563
361,47564-47854,291,47854
360,47855-48129,275,48129
359,48130-48396,267,48396
358,48397-48699,303,48699
357,48700-49020,321,49020
356,49021-49316,296,49316
355,49317-49574,258,49574
354,49575-49853,279,49853
353,49854-50130,277,50130
352,50131-50399,269,50399
351,50400-50687,288,50687
350,50688-51007,320,51007
349,51008-51304,297,51304
348,51305-51600,296,51600
347,51601-51906,306,51906
346,51907-52193,287,52193
345,52194-52512,319,52512
344,52513-52825,313,52825
343,52826-53134,309,53134
342,53135-53434,300,53434
341,53435-53716,282,53716
340,53717-54011,295,54011
339,54012-54279,268,54279
338,54280-54575,296,54575
337,54576-54882,307,54882
336,54883-55205,323,55205
335,55206-55530,325,55530
334,55531-55838,308,55838
333,55839-56127,289,56127
332,56128-56442,315,56442
331,56443-56733,291,56733
330,56734-57035,302,57035
329,57036-57365,330,57365
328,57366-57680,315,57680
327,57681-57985,305,57985
326,57986-58283,298,58283
325,58284-58598,315,58598
324,58599-58903,305,58903
323,58904-59196,293,59196
322,59197-59549,353,59549
321,59550-59877,328,59877
320,59878-60195,318,60195
319,60196-60522,327,60522
318,60523-60858,336,60858
317,60859-61150,292,61150
316,61151-61462,312,61462
315,61463-61776,314,61776
314,61777-62100,324,62100
313,62101-62390,290,62390
312,62391-62685,295,62685
311,62686-62967,282,62967
310,62968-63273,306,63273
309,63274-63569,296,63569
308,63570-63837,268,63837
307,63838-64174,337,64174
306,64175-64478,304,64478
305,64479-64771,293,64771
304,64772-65087,316,65087
303,65088-65386,299,65386
302,65387-65689,303,65689
301,65690-65972,283,65972
300,65973-66282,310,66282
299,66283-66577,295,66577
298,66578-66884,307,66884
297,66885-67180,296,67180
296,67181-67496,316,67496
295,67497-67782,286,67782
294,67783-68076,294,68076
293,68077-68343,267,68343
292,68344-68625,282,68625
291,68626-68890,265,68890
290,68891-69166,276,69166
289,69167-69457,291,69457
288,69458-69768,311,69768
287,69769-70032,264,70032
286,70033-70336,304,70336
285,70337-70604,268,70604
284,70605-70886,282,70886
283,70887-71160,274,71160
282,71161-71428,268,71428
281,71429-71692,264,71692
280,71693-71960,268,71960
279,71961-72183,223,72183
278,72184-72449,266,72449
277,72450-72675,226,72675
276,72676-72895,220,72895
275,72896-73120,225,73120
274,73121-73381,261,73381
273,73382-73626,245,73626
272,73627-73842,216,73842
271,73843-74062,220,74062
270,74063-74270,208,74270
269,74271-74492,222,74492
268,74493-74699,207,74699
267,74700-74927,228,74927
266,74928-75129,202,75129
265,75130-75330,201,75330
264,75331-75512,182,75512
263,75513-75730,218,75730
262,75731-75915,185,75915
261,75916-76096,181,76096
260,76097-76276,180,76276
259,76277-76458,182,76458
258,76459-76629,171,76629
257,76630-76801,172,76801
256,76802-76974,173,76974
255,76975-77139,165,77139
254,77140-77326,187,77326
253,77327-77486,160,77486
252,77487-77653,167,77653
251,77654-77807,154,77807
250,77808-77961,154,77961
249,77962-78093,132,78093
248,78094-78236,143,78236
247,78237-78374,138,78374
246,78375-78508,134,78508
245,78509-78643,135,78643
244,78644-78771,128,78771
243,78772-78897,126,78897
242,78898-79031,134,79031
241,79032-79140,109,79140
240,79141-79251,111,79251
239,79252-79348,97,79348
238,79349-79456,108,79456
237,79457-79538,82,79538
236,79539-79627,89,79627
235,79628-79722,95,79722
234,79723-79806,84,79806
233,79807-79886,80,79886
232,79887-79983,97,79983
231,79984-80062,79,80062
230,80063-80148,86,80148
229,80149-80245,97,80245
228,80246-80307,62,80307
227,80308-80381,74,80381
226,80382-80449,68,80449
225,80450-80516,67,80516
224,80517-80587,71,80587
223,80588-80646,59,80646
222,80647-80702,56,80702
221,80703-80765,63,80765
220,80766-80816,51,80816
219,80817-80860,44,80860
218,80861-80912,52,80912
217,80913-80969,57,80969
216,80970-81025,56,81025
215,81026-81081,56,81081
214,81082-81122,41,81122
213,81123-81169,47,81169
212,81170-81213,44,81213
211,81214-81249,36,81249
210,81250-81296,47,81296
209,81297-81346,50,81346
208,81347-81388,42,81388
207,81389-81420,32,81420
206,81421-81460,40,81460
205,81461-81497,37,81497
204,81498-81525,28,81525
203,81526-81551,26,81551
202,81552-81571,20,81571
201,81572-81600,29,81600
200,81601-81632,32,81632
199,81633-81645,13,81645
198,81646-81668,23,81668
197,81669-81690,22,81690
196,81691-81714,24,81714
195,81715-81736,22,81736
194,81737-81761,25,81761
193,81762-81784,23,81784
192,81785-81800,16,81800
191,81801-81822,22,81822
190,81823-81837,15,81837
189,81838-81859,22,81859
188,81860-81881,22,81881
187,81882-81895,14,81895
186,81896-81913,18,81913
185,81914-81929,16,81929
184,81930-81946,17,81946
183,81947-81955,9,81955
182,81956-81971,16,81971
181,81972-81987,16,81987
180,81988-81996,9,81996
179,81997-82010,14,82010
178,82011-82026,16,82026
177,82027-82045,19,82045
